Material,Month,Total stck,Total stck_2_,Tot. usage,Tot. usage_2_
31438,3.2022,0,PC,0,PC
31438,4.2022,0,PC,0,PC
31438,5.2022,0,PC,0,PC
31438,6.2022,0,PC,0,PC
31438,7.2022,0,PC,0,PC
31438,8.2022,0,PC,0,PC
31438,9.2022,0,PC,0,PC
31438,10.2022,0,PC,0,PC
31438,11.2022,0,PC,0,PC
31438,12.2022,0,PC,0,PC
31438,1.2023,0,PC,0,PC
31438,2.2023,0,PC,0,PC
31438,3.2023,0,PC,0,PC
31438,4.2023,0,PC,0,PC
31438,5.2023,0,PC,0,PC
31438,6.2023,0,PC,0,PC
31438,7.2023,0,PC,0,PC
31438,8.2023,0,PC,0,PC
31438,9.2023,0,PC,0,PC
31438,10.2023,0,PC,0,PC
31527,1.2021,0,PC,0,PC
31527,2.2021,0,PC,0,PC
31527,3.2021,0,PC,0,PC
31527,4.2021,0,PC,0,PC
31527,5.2021,0,PC,0,PC
31527,6.2021,0,PC,0,PC
31527,7.2021,0,PC,0,PC
31527,8.2021,0,PC,0,PC
31527,9.2021,0,PC,0,PC
31527,10.2021,0,PC,0,PC
31527,11.2021,0,PC,0,PC
31527,12.2021,0,PC,0,PC
31527,1.2022,0,PC,0,PC
31527,2.2022,0,PC,0,PC
31527,3.2022,0,PC,0,PC
31527,4.2022,0,PC,0,PC
31527,5.2022,0,PC,0,PC
31527,6.2022,0,PC,0,PC
31527,7.2022,0,PC,0,PC
31527,8.2022,0,PC,0,PC
31527,9.2022,0,PC,0,PC
31527,10.2022,0,PC,0,PC
31527,11.2022,0,PC,0,PC
31527,12.2022,0,PC,0,PC
31527,1.2023,0,PC,0,PC
31527,2.2023,0,PC,0,PC
31527,3.2023,0,PC,0,PC
31527,4.2023,0,PC,0,PC
31527,5.2023,0,PC,0,PC
31527,6.2023,0,PC,0,PC
31527,7.2023,0,PC,0,PC
31527,8.2023,0,PC,0,PC
31527,9.2023,0,PC,0,PC
31527,10.2023,0,PC,0,PC
31535,1.2021,0,PC,0,PC
31535,2.2021,0,PC,0,PC
31535,3.2021,0,PC,0,PC
31535,4.2021,0,PC,0,PC
31535,5.2021,0,PC,0,PC
31535,6.2021,0,PC,0,PC
31535,7.2021,0,PC,0,PC
31535,8.2021,0,PC,0,PC
31535,9.2021,0,PC,0,PC
31535,10.2021,0,PC,0,PC
31535,11.2021,0,PC,0,PC
31535,12.2021,0,PC,0,PC
31535,1.2022,0,PC,0,PC
31535,2.2022,0,PC,0,PC
31535,3.2022,0,PC,0,PC
31535,4.2022,0,PC,0,PC
31535,5.2022,0,PC,0,PC
31535,6.2022,0,PC,0,PC
31535,7.2022,0,PC,0,PC
31535,8.2022,0,PC,0,PC
31535,9.2022,0,PC,0,PC
31535,10.2022,0,PC,0,PC
31535,11.2022,0,PC,0,PC
31535,12.2022,0,PC,0,PC
31535,1.2023,0,PC,0,PC
31535,2.2023,0,PC,0,PC
31535,3.2023,0,PC,0,PC
31535,4.2023,0,PC,0,PC
31535,5.2023,0,PC,0,PC
31535,6.2023,0,PC,0,PC
31535,7.2023,0,PC,0,PC
31535,8.2023,0,PC,0,PC
31535,9.2023,0,PC,0,PC
31535,10.2023,0,PC,0,PC
31543,1.2021,0,PC,0,PC
31543,2.2021,0,PC,0,PC
31543,3.2021,0,PC,0,PC
31543,4.2021,0,PC,0,PC
31543,5.2021,0,PC,0,PC
31543,6.2021,0,PC,0,PC
31543,7.2021,0,PC,0,PC
